"","电影院地址","售价","原价","已售出票数","备注"
"1","乐天新东北影城","￥23","￥60","已售3590","仅售23元，价值60元单人电影票1张（包含2D、3D），不限时段通兑！"
"2","艾米1895电影街","￥9.9","￥100","已售71","仅售9.9元，价值100元电影包间抵值券！来艾米1895电影街给你不一样的观影感受！"
"3","环球国际影城","￥31","￥41","已售65","仅售31元，价值41元双人观影食品套餐！"
"4","博纳国际影城","￥40","￥45","已售7","仅售40元，价值45元大乐事单人套餐！"
"5","木棉私人放映室","￥25","￥196","已售117","仅售25元，价值196元单人观影券，免费WiFi，免费停车位！4张起订，4人即可包场，可容纳十人的私人放映厅，自主选片！"
"6","乐动4D动感体验厅","￥15","￥30","已售832","仅售15元，价值30元4D观影票1张！身临其境，真实还原视听感的饕餮盛宴！"
"7","即家VIP私人影院","￥158","￥198","已售6","仅售158元，价值198元私人影院1小时！ 包间可容纳4-8人，可聚会！"
"8","东星国际影城","￥65","￥120","已售1296","仅售65元，价值120元单人3DS-IMAX影票1张！爱电影，爱生活，看不完海内外大片，享不尽视听盛宴！"
"9","5D疯狂体验","￥19","￥29","已售803","仅售19元，价值29元5D电影票1张！逼真动感效果，全方位震撼体验！"
"10","6D影院体验馆","￥35","￥40","已售779","仅售35元，价值40元6d影院单人体验票！"
"11","深圳17.5影城","￥31","￥90","已售80","仅售31元，价值90元单人2D/3D电影兑换券！精彩酷炫电影，尽在这里！"
"12","星环影城","￥16","￥22","已售71","仅售16元，价值22元中桶爆米花1份+中杯饮料1杯！无需预约！"
"13","尚羽泰诚7D互动影院","￥8.5","￥30","已售170","仅售8.5元，价值30元单人5D影票！互动性极高，设备先进，前沿时尚，环境优雅，交通便利，椅子舒适，灯光温和！"
"14","尚羽泰诚7D互动影院","￥19.5","￥50","已售95","仅售19.5元，价值50元7D单人影票！精品体验厅，环境舒适，非同一般，新鲜刺激，宣泄压力，体验刺激，交通便利！"
"15","艺乐富通","￥19","￥40","已售385","仅售19元，价值40元艺乐富通4D单人电影票，不限时段通兑！"
"16","龙途揽胜7D多人互动影院","￥18.8","￥30","已售48","仅售18.8元，价值30元单人观影票！"
"17","飞迪特娱乐会所","￥15","￥35","已售3","仅售15元，价值35元单人私人影院1场，免费WiFi！不限时间段！"
"18","爱尚5D电影院","￥9.9","￥23","已售105","仅售9.9元，价值23元！5D电影票1张，无需预约，免费WIFI！"
"19","巅峰5D体验馆","￥8.8","￥30","已售31","仅售8.8元，价值30元5D单人电影票！无需预约！"
"20","廊坊5D动感体验吧","￥6.8","￥30","已售373","仅售6.8元，价值30元单人单场观影套餐！70余部影片可选，让您感受与银幕虚拟角色的实时互动真实体验！（另有其他套餐可选）"
"21","九华山庄5D动感影院","￥9.9","￥20","已售34","仅售9.9元，价值20元5D动感影院单人票！私密空间下的电影盛宴,是您和朋友的理想选择！"
"22","包头17.5影城","￥27","￥90","已售6","仅售27元，价值90元单人2D/3D电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"23","通化17.5影城","￥27","￥90","","仅售27元，价值90元单人2D/3D单人电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"24","吉林17.5影城","￥31","￥90","已售5","仅售31元，价值90元单人2D/3D单人电影兑换券！交通便利，精彩酷炫电影，尽在这里！"
"25","昆明17.5影城","￥31","￥90","已售46","仅售31元，价值90元单人2D/3D单人电影兑换券1张！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"26","长春17.5影城","￥31","￥90","已售18","仅售31元，价值90元单人2D/3D单人电影兑换券1张！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"27","南昌17.5影城","￥27","￥90","已售29","仅售27元，价值90元单人2D/3D单人电影兑换券！交通便利，精彩酷炫电影，尽在这里！"
"28","通化17.5影城","￥31","￥90","已售9","仅售31元，价值90元单人2D/3D单人电影兑换券！交通便利，精彩酷炫电影，尽在这里！"
"29","佛山17.5影城","￥27","￥90","已售19","仅售27元，价值90元单人2D/3D电影兑换券！精彩酷炫电影，尽在这里！"
"30","惠州17.5影城","￥27","￥90","已售10","仅售27元，价值90元单人2D/3D单人电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"31","珠海17.5影城","￥31","￥90","已售5","仅售31元，价值90元单人2D/3D单人电影兑换券！交通便利，精彩酷炫电影，尽在这里！"
"32","东莞17.5影城","￥22","￥90","已售14","仅售22元，价值90元单人2D/3D电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"33","上海17.5影城","￥31","￥90","已售127","仅售31元，价值90元2D/3D单人电影票！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"34","曲靖17.5影城","￥27","￥90","已售2","仅售27元，价值90元单人2D/3D电影兑换券！精彩酷炫电影，尽在这里！"
"35","东莞17.5影城","￥27","￥90","已售5","仅售27元，价值90元单人2D/3D单人电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"36","昆明17.5影城","￥27","￥90","已售7","仅售27元，价值90元单人2D/3D单人电影兑换券！交通便利，无需预约，精彩酷炫电影，尽在这里！"
"37","北京八大处公园","￥58","￥80","已售4","仅售58元，价值80元八大处《觉悟菩提<U+2022>佛牙舍利传奇》3D电影票！节假日通用！"
"38","幻境5D动感体验馆","￥15","￥20","已售2","仅售15元，价值20元5D单人影票！"
"39","幻境5D动感体验馆","￥28","￥40","已售7","仅售28元，价值40元5D双人套票！"
"40","幻境5D动感体验馆","￥40","￥80","","仅售40元，价值80元5D四人套票！"
"41","7D身临其境多人互动影院","￥33","￥56","已售7","仅售33元，价值56元7D+5D观影套餐，免费WiFi，免费停车位！"
"42","动幻时空5D","￥26.8","￥60","已售27","仅售26.8元，价值60元动幻时空5D双人套餐，免费WiFi！动幻时空5D双人套餐，可观看点播式！"
"43","动幻时空5D","￥14.8","￥30","已售10","仅售14.8元，价值30元动幻时空5D单人套餐，免费WiFi！动幻时空5D单人套餐，可观看点播式！"
"44","正华影城","￥80","￥240","已售2","仅售80元，价值240元2D/3D单人通宵晚场单人电影票，不限时段通兑！节假日通兑，无需补差价（3部影片连放含大片）！"
"45","乐创8D互动影院","￥29","￥68","","仅售29元，价值68元单人8D互动影院电影票，免费WiFi！"
"46","乐创8D互动影院","￥35","￥78","已售2","仅售35元，价值78元9D互动影院电影票，免费WiFi！"
"47","","","","",""
